imgid, x_gt, y_gt, z_gt, omega_gt, phi_gt, kappa_gt, x_gps, y_gps, z_gps, 
14101,465709.226308,5248011.660879,483.240484,-79.053500,65.655064,170.920387,465705.423561,5248001.825286,484.169006, 
14131,465709.170830,5248011.991743,482.957616,-78.721224,66.301201,170.661513,465705.769177,5248002.845732,484.306000, 
14161,465709.325605,5248012.292828,482.643509,-78.969650,65.464070,170.925558,465705.884255,5248004.456554,484.890015, 
14191,465709.463098,5248012.750415,482.344936,-78.972635,65.560130,170.829980,465705.868935,5248005.712495,485.042999, 
14221,465709.558714,5248013.285429,482.215136,-79.422345,64.288382,171.149730,465705.761101,5248006.635564,484.928986, 
14251,465709.492745,5248013.878789,482.298926,-79.346167,63.866877,171.074245,465705.545909,5248007.270303,484.845001, 
14281,465709.280331,5248014.463260,482.596792,-79.096074,64.328889,170.864404,465705.714879,5248007.769435,484.018005, 
14311,465709.130749,5248014.995519,482.884868,-79.340146,64.276111,171.226770,465705.939347,5248008.723908,483.825989, 
14341,465709.059474,5248015.321881,483.098049,-79.366369,64.116626,171.323643,465706.223153,5248009.500213,483.608002, 
14371,465709.080386,5248015.611738,483.287816,-79.146242,64.589633,171.153129,465706.572619,5248009.887153,482.694000, 
14401,465709.208625,5248015.908465,483.490304,-79.701848,64.357474,171.822625,465706.825918,5248010.608068,482.338989, 
14431,465709.421909,5248016.215001,483.752970,-78.518867,66.408652,170.691820,465707.011536,5248011.373833,482.063995, 
14461,465709.598410,5248016.362985,483.846516,-78.516048,65.785060,170.710028,465706.962790,5248012.074283,482.071991, 
14491,465709.683156,5248016.287403,483.795929,-78.222564,66.117824,170.502191,465706.914951,5248012.930319,482.524994, 
14521,465709.744833,5248016.216432,483.669179,-77.575075,67.450864,169.899629,465707.106499,5248013.418207,482.273987, 
14551,465709.715055,5248015.994983,483.516512,-77.271900,68.037336,169.629403,465707.372100,5248013.661158,482.075989, 
14581,465709.614744,5248015.871102,483.375494,-77.250296,68.717424,169.843509,465707.515961,5248013.738115,481.936005, 
14611,465709.432844,5248015.880569,483.359503,-78.142666,66.871659,170.601883,465707.227143,5248013.395274,482.782990, 
14641,465709.241327,5248016.027341,483.429854,-78.862784,65.839821,171.255172,465707.195254,5248013.106503,482.919006, 
14671,465709.170667,5248016.238877,483.518069,-72.690782,74.290907,165.463140,465707.066227,5248012.985005,483.273987, 
14701,465709.191523,5248016.430300,483.671782,-62.322629,80.056311,155.386768,465707.139378,5248012.584484,482.750000, 
14731,465709.336122,5248016.622591,483.808633,-61.281734,80.895787,154.209964,465707.100337,5248012.362437,482.635010, 
14761,465709.519118,5248016.753445,483.943113,39.103808,84.539389,54.448744,465707.160721,5248012.362085,482.484985, 
14791,465709.831840,5248016.663925,483.812983,73.438672,76.975399,20.102374,465707.002870,5248012.474143,482.464996, 
14821,465710.179027,5248016.561564,483.577653,73.024958,78.531461,20.841008,465706.595807,5248012.565429,482.959015, 
14851,465710.390455,5248016.433086,483.331498,76.037109,78.374931,18.375590,465706.739790,5248012.664612,482.639008, 
14881,465710.412698,5248016.472631,483.094256,77.755679,78.102073,16.843769,465706.962313,5248013.285683,482.929993, 
14911,465710.345481,5248016.693039,482.987842,71.065925,80.729942,22.929931,465707.191665,5248013.784462,483.242004, 
14941,465710.386988,5248016.905817,482.627668,75.076584,78.844793,18.763619,465707.494219,5248013.893834,483.256012, 
14971,465710.558485,5248017.073153,482.173430,69.367975,81.110462,24.124046,465707.999928,5248013.890883,483.407990, 
15001,465710.514566,5248017.430941,482.210801,75.403267,78.149538,18.408090,465708.362031,5248013.855429,483.156982, 
15031,465710.162326,5248017.822805,482.653674,71.944063,77.621327,20.827603,465708.754645,5248013.875365,482.932983, 
15061,465709.654608,5248018.338647,483.215246,72.971771,76.969348,20.029100,465708.899473,5248014.119023,482.891998, 
15091,465709.112594,5248018.777789,483.691652,83.413042,64.312826,10.627742,465708.930967,5248014.341113,482.941010, 
15121,465708.683793,5248019.093858,483.899171,87.720687,51.052316,7.365466,465709.016454,5248014.762936,482.550995, 
15151,465708.397142,5248019.178250,483.744143,89.461214,37.702434,6.124739,465709.182893,5248014.828646,482.316010, 
15181,465708.167346,5248019.159565,483.290572,89.420383,32.387529,5.543434,465709.526315,5248015.471240,482.118011, 
15211,465707.998362,5248019.251006,482.848925,89.152101,31.145727,5.441186,465709.454208,5248016.049575,482.612000, 
15241,465708.035285,5248019.595525,482.604234,88.364156,34.030584,5.219878,465708.846723,5248016.719944,483.156982, 
15271,465708.107378,5248020.090026,482.561243,87.844275,34.115790,5.319372,465708.381811,5248017.245003,483.618988, 
15301,465707.908251,5248020.664191,482.534891,87.576730,33.576135,5.138481,465707.975848,5248017.525215,483.959991, 
15331,465707.927125,5248021.340339,482.576185,87.848534,32.566958,5.050004,465707.921783,5248017.314370,484.287994, 
15361,465708.275195,5248022.003483,482.704120,87.749998,31.148104,5.074936,465707.551226,5248017.194281,483.783997, 
15391,465708.607337,5248022.667807,483.124585,87.055171,32.164497,5.094102,465707.567303,5248017.360894,483.497986, 
15421,465708.483317,5248023.288320,483.478629,86.532180,32.973580,5.067420,465707.774393,5248017.926486,482.937988, 
15451,465708.265155,5248023.796006,483.655145,86.393301,32.707306,4.809923,465707.942971,5248018.358938,482.787994, 
15481,465708.258168,5248024.250522,483.721908,86.400624,32.722535,4.455295,465708.068081,5248019.102827,482.565002, 
15511,465708.599852,5248024.636904,483.742754,86.515897,32.336482,4.485318,465708.276798,5248019.946254,482.476013, 
15541,465709.186136,5248024.928229,483.781823,86.479772,33.324542,4.402477,465708.780343,5248020.865756,482.434998, 
15571,465709.740557,5248025.127805,483.812599,86.381332,34.612210,4.475943,465709.336839,5248021.807176,482.704987, 
15601,465710.224259,5248025.433022,483.831354,86.541597,34.404298,4.519551,465709.386277,5248022.518166,483.325989, 
15631,465710.668633,5248025.849126,483.860026,85.985904,36.279052,4.687030,465709.232828,5248023.385933,483.472992, 
15661,465710.971707,5248026.291295,483.795369,86.140390,32.874879,4.713735,465709.471550,5248024.195843,483.898010, 
15691,465711.361726,5248026.798032,483.801898,86.147906,32.735471,4.514980,465709.859144,5248024.649245,483.540985, 
15721,465711.881013,5248027.339019,484.026556,86.180326,33.788719,4.984829,465710.458151,5248025.112526,483.700012, 
15751,465712.409481,5248027.899210,484.179430,86.245657,32.399520,4.846761,465711.213893,5248025.274821,483.684998, 
15781,465713.082821,5248028.452328,484.398220,85.985980,33.569748,4.993587,465711.795982,5248025.427019,483.757996, 
15811,465713.727476,5248028.927890,484.516348,85.954011,31.171534,4.939641,465712.341432,5248025.768361,483.976013, 
15841,465714.292397,5248029.490868,484.674502,85.916805,32.584780,4.984005,465712.810368,5248025.932332,484.506012, 
15871,465714.726493,5248030.030836,484.839351,85.518674,35.236200,5.099559,465713.665145,5248026.249642,485.013000, 
15901,465715.040097,5248030.541515,484.925528,85.755462,34.584696,5.224339,465714.513417,5248026.744812,485.360992, 
15931,465715.227277,5248030.915243,484.821777,85.565229,35.177821,5.440906,465714.961460,5248027.208975,485.630981, 
15961,465715.355780,5248031.096230,484.572228,84.765760,36.642570,5.242496,465716.108983,5248027.246734,486.080994, 
15991,465715.612879,5248031.257352,484.329889,84.655759,37.927145,5.255869,465717.098973,5248027.452119,486.286987, 
16021,465716.072249,5248031.514432,484.155864,84.658322,37.395698,5.257788,465718.102764,5248027.435149,486.315002, 
16051,465716.599438,5248031.800929,484.107145,84.849149,36.356620,5.142477,465718.453977,5248028.122151,486.312988, 
16081,465717.230551,5248032.116162,484.101717,85.146312,34.834613,5.012038,465719.008282,5248028.685718,486.760010, 
16111,465717.960441,5248032.551737,484.347923,85.112600,34.167261,4.868103,465719.260140,5248029.162141,486.816986, 
16141,465718.691354,5248033.121005,484.657214,85.113571,34.413685,4.861272,465719.480184,5248029.360904,486.596008, 
16171,465719.408185,5248033.684385,484.887102,85.124104,33.687090,4.754255,465719.489101,5248029.594239,485.622009, 
16201,465720.058356,5248034.139834,485.053123,85.039396,33.841608,4.765507,465719.453889,5248030.027881,484.734009, 
16231,465720.662942,5248034.503553,485.027914,85.081134,35.164086,4.811274,465720.067141,5248030.346602,485.105011, 
16261,465721.237524,5248034.859812,485.017147,85.004467,33.493986,4.717278,465720.581041,5248030.454742,484.811005, 
16291,465721.777274,5248035.187320,485.043490,84.717278,34.881995,4.729111,465721.113791,5248031.207368,485.509003, 
16321,465722.246949,5248035.548438,485.053345,84.725309,34.611950,4.632013,465721.931745,5248031.680487,486.201996, 
16351,465722.719120,5248035.813173,484.998424,84.648654,35.678068,4.580052,465722.614483,5248032.265532,486.506989, 
16381,465723.285800,5248036.014916,484.904042,84.601447,35.184495,4.407052,465723.167409,5248032.595720,486.419006, 
16411,465723.854098,5248036.306746,484.802062,84.247675,37.269762,4.506759,465723.866919,5248033.469625,486.584991, 
16441,465724.415813,5248036.694433,484.766291,84.482025,35.162658,4.261061,465724.406962,5248034.177754,486.714996, 
16471,465725.031839,5248037.008492,484.803065,84.364366,35.574789,4.239870,465725.004083,5248034.318750,486.302002, 
16501,465725.581296,5248037.409046,484.953711,84.288177,35.175188,4.214632,465725.485575,5248034.049212,485.536011, 
16531,465726.127613,5248037.807814,485.073765,84.224429,36.382402,4.213926,465725.897440,5248034.780315,486.161011, 
16561,465726.694663,5248037.969198,485.133767,84.384774,35.501509,4.071076,465726.375741,5248035.255417,485.963989, 
16591,465727.325129,5248038.052020,485.201759,84.283882,36.853167,4.030186,465727.088018,5248035.729153,486.359009, 
16621,465727.892614,5248038.171381,485.262666,83.979569,40.664109,4.095218,465727.731459,5248036.047698,486.604004, 
16651,465728.323362,5248038.318714,485.297873,84.159486,39.532487,4.020634,465728.376581,5248036.655190,487.355988, 
16681,465728.647886,5248038.419699,485.237441,84.173571,42.992978,4.261433,465728.915714,5248037.207735,488.057007, 
16711,465728.914329,5248038.516295,485.027440,83.750238,46.772083,4.510079,465729.144804,5248037.662061,487.920990, 
16741,465729.149337,5248038.748205,484.733696,83.827452,46.365443,4.507505,465729.652324,5248037.970286,488.191986, 
16771,465729.418137,5248039.030127,484.618235,83.927210,44.671270,4.377227,465730.385162,5248038.088265,488.641998, 
16801,465729.815330,5248039.657568,485.039031,84.295002,36.797673,4.096318,465731.075062,5248038.606586,489.197998, 
16831,465730.358529,5248040.134396,485.613767,84.418838,36.743004,3.948489,465731.514381,5248038.870753,489.372009, 
16861,465731.080134,5248040.442127,486.044716,84.431521,36.094959,3.958522,465731.730720,5248039.725249,490.122986, 
16891,465731.805477,5248040.557947,486.282097,84.294985,37.691615,3.992421,465731.939947,5248040.657585,490.794006, 
16921,465732.424629,5248040.703359,486.418549,84.382082,36.347425,3.957830,465732.283935,5248041.400198,491.372986, 
16951,465732.954599,5248040.913937,486.468158,84.263446,36.896073,4.051789,465732.565798,5248041.843104,491.618988, 
16981,465733.441558,5248041.196557,486.483780,84.189567,37.338333,4.067352,465733.309034,5248042.450025,492.941010, 
17011,465733.893441,5248041.573760,486.515847,84.107902,37.859449,4.018564,465734.058279,5248042.790182,494.156982, 
17041,465734.532716,5248041.946729,486.650177,84.349360,36.403370,3.849636,465735.024592,5248042.817888,494.852997, 
17071,465735.221623,5248042.264473,486.821115,84.402261,35.343179,3.832405,465735.975544,5248042.801230,495.161011, 
17101,465735.783456,5248042.364701,486.895846,84.335975,36.445756,3.906959,465736.469321,5248043.342924,495.674011, 
17131,465736.208878,5248042.329465,486.921452,84.110403,40.295100,4.043955,465736.872074,5248043.807352,495.932007, 
17161,465736.586360,5248042.303178,486.912028,84.286043,37.281345,3.993196,465737.234758,5248043.871920,495.154999, 
17191,465736.903021,5248042.232156,486.708223,84.272281,37.339463,3.977104,465737.523064,5248044.125855,494.707001, 
17221,465737.213416,5248042.174470,486.455167,84.675496,28.149602,3.783008,465738.013147,5248044.034087,494.019012, 
17251,465737.530362,5248042.056161,486.236000,84.892794,24.255615,3.594767,465738.490927,5248044.420282,493.791992, 
17281,465737.917332,5248041.938761,486.089406,85.072211,16.859376,3.446089,465738.844826,5248044.273740,493.144989, 
17311,465738.338231,5248041.871256,486.113738,85.320071,7.837969,3.225976,465739.402267,5248044.081557,493.015991, 
17341,465738.753335,5248041.777113,486.146853,85.560317,0.353995,3.031597,465739.830148,5248043.678968,492.493011, 
17371,465739.218439,5248041.630148,486.121321,85.707450,-6.396277,2.854582,465739.984692,5248043.000130,492.149994, 
17401,465739.705862,5248041.534352,486.156216,85.787552,-11.773945,2.669189,465740.607730,5248042.407468,491.311005, 
17431,465740.215763,5248041.492352,486.202056,85.838023,-16.965193,2.482454,465740.916150,5248042.227850,490.885010, 
17461,465740.756783,5248041.472194,486.207650,85.605788,-27.954034,1.842354,465741.202641,5248042.170610,490.177002, 
17491,465741.249604,5248041.592044,486.153495,85.509363,-37.379528,1.662599,465741.663447,5248042.234607,489.859009, 
17521,465741.447464,5248041.987495,486.068805,85.334926,-41.903264,1.200634,465742.016243,5248041.899138,488.610992, 
17551,465741.631666,5248042.528460,486.130017,85.173334,-44.879217,0.682703,465742.640445,5248041.506519,488.050995, 
17581,465742.110862,5248042.705642,486.198345,85.097531,-44.715910,-0.011784,465742.887965,5248041.238346,487.557007, 
17611,465742.736846,5248042.367453,486.211551,85.304499,-41.018423,-0.340165,465743.241080,5248040.958444,487.220001, 
17641,465743.446624,5248041.907862,486.182664,85.191615,-39.827545,-0.575874,465743.813040,5248040.666153,486.649994, 
17671,465744.070631,5248041.597853,486.208498,85.101076,-40.378212,-0.773740,465744.310928,5248040.618796,486.467987, 
17701,465744.514158,5248041.421779,486.259811,84.829749,-41.745311,-1.227749,465744.516597,5248040.939895,486.210999, 
17731,465744.985675,5248041.436928,486.251829,84.615580,-41.525015,-1.455230,465744.453077,5248041.696000,485.921997, 
17761,465745.479498,5248041.388103,486.294599,84.704675,-41.025704,-1.680511,465744.680351,5248041.839153,485.830994, 
17791,465745.993804,5248041.333710,486.455288,84.333167,-43.124445,-2.189702,465745.237909,5248041.669196,485.208008, 
17821,465746.515314,5248041.322693,486.646904,84.638792,-40.573497,-2.218337,465746.049052,5248040.975417,485.092010, 
17851,465747.163343,5248041.250886,486.838443,84.595151,-40.868113,-2.348829,465746.530421,5248040.683653,484.997009, 
17881,465747.777427,5248041.027439,487.113892,84.809090,-40.535681,-2.429272,465746.867740,5248040.281593,484.820007, 
17911,465748.413898,5248040.694696,487.294679,85.044391,-40.887945,-2.015713,465747.261199,5248040.446005,483.923004, 
17941,465749.036869,5248040.201564,487.343170,85.376917,-40.087380,-1.556620,465747.494725,5248040.366848,484.416992, 
17971,465749.571095,5248039.764331,487.330191,85.109708,-42.274048,-1.778992,465747.886890,5248040.308993,484.722992, 
18001,465750.059395,5248039.351353,487.330990,85.073999,-42.222491,-1.773111,465748.474904,5248040.183315,484.710999, 
18031,465750.578197,5248038.932389,487.360491,85.059393,-41.202925,-2.021449,465749.192202,5248040.223589,485.070007, 
18061,465751.054502,5248038.488473,487.449281,85.036007,-41.443224,-2.241549,465749.932463,5248040.319298,484.605011, 
18091,465751.462961,5248037.989138,487.594774,85.092362,-41.241414,-2.254304,465750.616134,5248039.770740,483.903015, 
18121,465751.863728,5248037.504390,487.729176,85.095164,-41.001548,-2.353236,465751.112210,5248039.412209,482.872009, 
18151,465752.291676,5248037.016802,487.836311,85.012571,-40.329681,-2.610762,465751.653575,5248039.053414,482.382996, 
18181,465752.712835,5248036.463884,487.959952,85.232582,-39.304734,-2.314391,465752.270549,5248038.716406,481.265015, 
18211,465753.056112,5248036.030152,487.994799,85.082348,-40.251491,-2.320387,465752.969772,5248038.245554,480.562988, 
18241,465753.304040,5248035.561406,487.908879,85.350183,-37.735356,-2.138692,465754.166820,5248037.716232,479.660004, 
18271,465753.549605,5248035.140686,487.820590,85.522737,-35.926620,-1.938723,465754.595751,5248037.491458,479.191986, 
18301,465753.824585,5248034.827010,487.915822,85.298020,-37.473452,-2.138306,465755.144797,5248037.154846,479.199005, 
18331,465754.257033,5248034.571840,488.033249,85.260633,-37.629015,-1.915751,465755.661704,5248036.485009,478.570984, 
18361,465754.640232,5248034.382102,488.124917,85.020782,-38.770624,-2.194818,465756.089340,5248036.037968,478.127014, 
18391,465755.049048,5248034.197887,488.213181,84.969755,-40.965276,-2.232342,465756.132230,5248035.626509,477.444000, 
18421,465755.421749,5248033.972729,488.306413,87.496565,-43.707291,-0.512862,465756.367117,5248035.780733,477.158997, 
18451,465755.678089,5248033.661223,488.279110,94.618776,-57.065736,6.357660,465756.267183,5248035.470131,476.519012, 
18481,465755.714448,5248033.314023,488.106625,103.897011,-67.755112,16.468580,465756.348076,5248035.102906,477.223999, 
18511,465755.803820,5248033.032622,487.876899,104.478831,-68.561256,17.512160,465756.488765,5248034.635311,477.686005, 
18541,465756.037684,5248032.679545,487.697881,103.642544,-68.693701,16.684431,465757.137421,5248034.553734,477.197998, 
18571,465756.346140,5248032.122315,487.652906,103.239534,-67.900840,16.075657,465757.893228,5248034.727148,475.924011, 
18601,465756.764831,5248031.568131,487.706090,102.524455,-66.958252,15.699699,465758.336344,5248034.346700,475.812012, 
18631,465757.354640,5248031.169838,487.953206,102.197567,-67.764947,15.427209,465758.734172,5248033.966515,474.778015, 
18661,465758.070123,5248030.726367,488.344110,102.184060,-68.447897,15.445240,465759.302591,5248034.363296,473.528015, 
18691,465758.782286,5248030.372432,488.719925,101.797947,-67.469625,14.925141,465760.058404,5248034.536713,472.463013, 
18721,465759.352135,5248029.976594,488.961337,104.235918,-70.600590,17.783338,465760.204205,5248034.947071,474.186005, 
18751,465759.479996,5248029.448467,488.929960,102.456864,-67.831402,15.673282,465760.440294,5248036.601643,478.212982, 
18781,465759.546713,5248028.762884,488.733526,103.894209,-70.295851,17.348668,465760.634543,5248037.556292,481.760986, 
18811,465759.625333,5248028.066705,488.415954,102.479706,-69.006295,15.972478,465761.184012,5248038.586667,485.179993, 
18841,465759.816775,5248027.368662,488.047247,100.852830,-67.228025,13.931570,465761.919644,5248039.182522,488.153015, 
18871,465760.170395,5248027.006873,487.664191,97.797217,-62.208648,10.427448,465762.484618,5248038.990298,489.265991, 
18901,465760.596669,5248027.028372,487.567498,94.604399,-45.594251,5.177563,465762.707691,5248038.411084,489.735992, 
18931,465761.254527,5248027.061088,487.657512,94.366856,-45.622486,5.062938,465762.635037,5248037.600204,489.882996, 
18961,465761.964414,5248026.999390,487.850499,94.240257,-45.275361,4.916894,465762.815708,5248036.221049,488.502991, 
18991,465762.548939,5248027.049925,487.920379,94.813194,-45.106634,5.891161,465763.167510,5248034.418574,486.446014, 
19021,465762.923726,5248027.099523,487.814522,94.698733,-44.779840,5.796084,465763.492287,5248033.160829,485.367004, 
19051,465763.028421,5248027.062191,487.544176,94.862020,-43.825548,5.938522,465763.116168,5248032.084988,485.748993, 
19081,465763.104494,5248026.947775,487.170349,95.020203,-41.991492,6.030639,465763.581789,5248031.682181,485.464996, 
19111,465763.383803,5248026.573176,487.054172,94.035364,-25.044553,2.653112,465764.553841,5248031.398675,484.682007, 
19141,465763.834505,5248026.097184,487.097590,93.909905,-23.490690,2.598704,465765.274284,5248030.683200,483.855988, 
19171,465764.299639,5248025.554195,487.160974,93.513209,-23.936537,2.479073,465766.080409,5248030.422886,482.899994, 
19201,465764.652711,5248025.068634,487.171355,93.534053,-24.283461,2.823860,465766.142190,5248029.366721,481.760010, 
19231,465764.790483,5248024.741028,487.189441,93.510503,-23.906728,3.033692,465766.876661,5248027.173037,475.990997, 
19261,465764.779668,5248024.733546,486.902172,93.365798,-23.251781,3.209177,465767.221272,5248026.726479,474.885010, 
19291,465764.792794,5248024.682259,486.582843,93.549941,-22.216384,3.498326,465767.678318,5248026.145902,474.395996, 
19321,465765.202026,5248024.611952,486.484189,93.514759,-17.772979,2.747024,465768.151492,5248025.743051,474.192993, 
19351,465765.871325,5248024.727759,486.913997,93.426466,-2.886927,0.539596,465768.383922,5248025.474968,474.257996, 
19381,465766.918916,5248024.933825,487.329632,93.514892,-2.817071,0.807012,465768.305472,5248024.964193,474.673004, 
19411,465767.122515,5248025.022564,487.518602,94.240732,10.923714,-1.169945,465767.822741,5248025.022574,474.196014, 
19441,465767.792317,5248024.997735,487.815523,94.160102,13.617810,-1.117394,465767.715902,5248024.823149,473.660004, 
19471,465768.003934,5248025.091173,487.697313,94.318408,12.820963,-0.765652,465767.692165,5248024.634354,473.744995, 
19501,465768.822972,5248025.009105,487.877199,94.207685,14.813165,-0.763869,465768.158496,5248024.353794,474.048004, 
19531,465769.129676,5248025.097835,488.000032,94.586364,19.154274,-1.274644,465768.785164,5248024.383484,474.738007, 
19561,465769.709064,5248025.419458,487.787452,94.074060,20.084557,-0.750540,465769.440657,5248024.179619,475.558990, 
19591,465770.191805,5248025.723294,487.790256,92.822461,22.055934,-0.270135,465769.651799,5248024.145047,476.549011, 
19621,465770.595632,5248025.965001,487.752720,92.900515,22.500440,-0.079826,465769.787529,5248024.122029,477.596008, 
19651,465770.959679,5248026.103066,487.770352,92.875074,21.492965,0.284402,465770.005962,5248024.042962,477.673004, 
19681,465771.300459,5248026.255752,487.798013,92.868359,21.795994,0.427737,465770.639650,5248023.983701,478.507996, 
19711,465771.582748,5248026.410657,487.793237,92.901953,22.851032,0.484836,465771.449016,5248024.279057,479.760010, 
19741,465771.836837,5248026.528900,487.779202,92.889433,22.656366,0.649715,465772.062706,5248024.675576,480.662994, 
19771,465772.182925,5248026.508409,487.761773,92.853240,19.299756,1.069819,465772.440743,5248024.784512,480.957001, 
19801,465772.515684,5248026.390674,487.708268,92.795729,20.400959,1.075766,465772.963422,5248025.103766,481.971985, 
19831,465772.764687,5248026.308523,487.589730,93.158439,26.728657,0.252909,465773.281597,5248025.301960,482.460999, 
19861,465773.146140,5248026.314789,487.427467,93.434127,39.016731,-1.221965,465773.599827,5248025.511268,482.597992, 
19891,465773.477113,5248026.409394,487.308386,93.677857,38.220394,-0.892029,465774.001549,5248025.797885,483.203003, 
19921,465773.923680,5248026.560745,487.319615,93.736527,39.011944,-0.904572,465774.387067,5248025.895663,483.593994, 
19951,465774.505841,5248026.720273,487.453587,93.666124,39.768953,-0.873993,465774.688658,5248025.838337,483.898010, 
19981,465775.118669,5248026.846671,487.654594,93.542429,40.657074,-0.822001,465775.087977,5248025.713761,484.502991, 
20011,465775.463312,5248026.879518,487.718055,93.065711,43.159131,-0.775075,465775.170874,5248025.691053,484.687012, 
20041,465775.444425,5248026.918369,487.627054,92.892571,43.797740,-0.560948,465775.299191,5248025.690305,484.694000, 
20071,465775.316601,5248026.989882,487.457978,92.687788,44.225664,-0.548635,465775.594838,5248025.910856,484.746002, 
20101,465775.229046,5248027.065104,487.303965,92.861531,44.095454,-0.649828,465776.169183,5248026.029763,485.645996, 
20131,465775.267419,5248027.215512,487.093225,92.942793,43.874524,-0.540999,465776.525938,5248026.372211,485.554993, 
20161,465775.554755,5248027.409247,486.892791,93.194508,43.713786,-0.472008,465776.980747,5248026.702975,486.167999, 
20191,465775.945095,5248027.626508,486.849145,93.093157,42.875289,-0.172930,465777.118164,5248026.968903,486.488007, 
20221,465776.186812,5248027.920482,486.876015,93.007137,42.528986,-0.004066,465777.080553,5248026.991350,486.382996, 
20251,465776.209986,5248028.367032,486.959726,92.971557,42.091881,0.292041,465777.157834,5248027.302084,485.904999, 
20281,465776.072196,5248028.931352,487.045564,92.826162,43.645816,0.201408,465777.060826,5248027.491583,485.796997, 
20311,465776.035101,5248029.574975,486.979467,93.042422,43.371736,0.235759,465777.406848,5248027.289520,485.562988, 
20341,465776.147414,5248030.223235,486.892080,92.713422,44.951688,0.285425,465777.775786,5248027.131780,484.872009, 
20371,465776.395003,5248030.867251,486.794035,92.667287,43.112531,0.400906,465777.919327,5248027.153171,484.644989, 
20401,465776.695756,5248031.384750,486.819949,92.846653,43.778768,0.211226,465777.733804,5248027.698825,484.233002, 
20431,465777.122389,5248031.951052,486.818306,92.950340,44.026780,0.241494,465777.531883,5248028.022299,484.153015, 
20461,465777.591578,5248032.484839,486.833798,92.895176,43.981692,0.386130,465777.347144,5248028.701313,484.019012, 
20491,465777.984529,5248033.000245,486.828107,92.815651,43.583679,0.508329,465777.216069,5248029.524492,483.722992, 
20521,465778.398099,5248033.617069,486.770417,92.995540,45.345524,0.297023,465777.160352,5248030.325006,483.346008, 
20551,465778.930837,5248034.187105,486.743409,93.016122,44.626968,0.264551,465777.450336,5248030.867890,483.692993, 
20581,465779.558189,5248034.660170,486.704608,93.131637,44.738479,0.242803,465777.755874,5248031.488480,483.231018, 
20611,465780.170560,5248035.029477,486.607831,93.138987,44.705790,0.448472,465778.068378,5248032.009006,483.040985, 
20641,465780.756301,5248035.442421,486.506152,93.187836,44.412881,0.392579,465778.681556,5248032.316619,482.933990, 
20671,465781.317416,5248035.951374,486.472568,93.044534,45.635493,0.363931,465779.528848,5248032.645096,483.519012, 
20701,465781.953817,5248036.520574,486.436788,93.109931,45.167672,0.485631,465780.097643,5248033.108562,483.282990, 
20731,465782.632555,5248036.941251,486.375951,93.128305,45.530166,0.443060,465780.681546,5248033.571938,483.389008, 
20761,465783.335285,5248037.252049,486.242098,93.196918,45.188054,0.549256,465781.084169,5248034.014143,482.830994, 
20791,465784.025518,5248037.629492,486.164151,93.033990,45.777738,0.534045,465781.495702,5248034.689685,482.514008, 
20821,465784.680011,5248038.138851,486.172450,92.981842,46.749716,0.437416,465781.814514,5248034.999013,481.563995, 
20851,465785.193579,5248038.731004,486.259610,92.870352,46.292454,0.658442,465782.344281,5248035.240431,481.093994, 
20881,465785.759071,5248039.305928,486.210107,93.139043,45.074014,0.454654,465783.348262,5248035.256811,481.488983, 
20911,465786.506334,5248039.674990,486.086211,93.237547,45.433967,0.469345,465784.374957,5248035.284175,481.074005, 
20941,465787.274955,5248040.016169,486.071027,93.287820,45.582999,0.490440,465785.266567,5248035.445689,480.687988, 
20971,465787.944441,5248040.401870,486.090342,93.399328,45.421612,0.408221,465785.971612,5248035.975043,480.484985, 
21001,465788.582138,5248040.787775,486.093077,93.435651,46.167527,0.319050,465786.737685,5248036.615180,480.628998, 
21031,465789.235736,5248041.201918,486.065333,93.316221,45.973758,0.307245,465787.193862,5248037.179326,480.406006, 
21061,465789.916718,5248041.595851,486.084404,93.110235,45.708680,0.403958,465787.822784,5248037.597984,479.792999, 
21091,465790.634288,5248041.996774,486.111880,93.079144,46.044314,0.382892,465788.618274,5248038.104585,479.692993, 
21121,465791.317145,5248042.363822,486.207908,93.368708,46.791824,0.226952,465789.315772,5248038.633984,479.747986, 
21151,465791.841225,5248042.843336,486.381212,93.001229,46.399933,0.514796,465790.070806,5248038.674043,479.419006, 
21181,465792.110762,5248043.198832,486.417189,92.883132,46.772848,0.697477,465790.881460,5248039.191669,479.566986, 
21211,465792.291891,5248043.537171,486.292093,92.922277,47.585701,0.569424,465791.653790,5248039.609495,479.566010, 
21241,465792.458826,5248044.036472,486.194547,92.652234,48.724475,0.456080,465792.464569,5248040.149348,479.791992, 
21271,465792.675206,5248044.606964,486.024201,92.425001,48.329442,0.466560,465793.303925,5248040.411192,479.903015, 
21301,465792.877331,5248045.212847,485.885718,92.379405,47.800597,0.497815,465794.111020,5248040.317584,480.209991, 
21331,465793.141839,5248045.891152,485.812444,92.529968,47.982209,0.362979,465794.467836,5248040.671146,480.376007, 
21361,465793.572081,5248046.583321,485.793012,92.534803,47.714172,0.272064,465794.485193,5248041.060026,480.287994, 
21391,465794.122109,5248047.232433,485.810418,92.693831,47.433416,0.239288,465794.622735,5248041.348183,480.231018, 
21421,465794.821820,5248047.907726,485.851975,92.838626,47.896046,0.006218,465794.889503,5248041.791178,480.199005, 
21451,465795.414131,5248048.570669,485.910533,92.740349,47.001605,0.352639,465795.358104,5248041.899589,479.750000, 
